id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
0,Pizza Tower,/app/2231450/,1/26/2023,4529,19807,227,20034,96.39,Action (1),"Action (1) Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,1/10/2023,98,"3101","3606",4529,3/25/2023
1,Resident Evil 4,/app/2050650/,3/24/2023,168191,61752,1616,63368,95.75,Action (1),"Action (1) Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,3/29/2023,97,"46289","47164",168191,3/25/2023
2,The Murder of Sonic the Hedgehog,/app/2324650/,3/31/2023,15543,12643,213,12856,95.54,Casual (4),"Casual (4) Free to Play (37) Indie (23) Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,3/24/2023,98,618,776,15543,3/31/2023
3,Pineapple on pizza,/app/2263010/,3/28/2023,1415,11717,209,11926,95.39,Indie (23),"Casual (4) Free to Play (37) Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,3/22/2023,98,101,101,1415,3/28/2023
4,Hi-Fi RUSH,/app/1817230/,1/25/2023,6132,14152,324,14476,95.09,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/11/2023,97,630,664,6132,1/29/2023
5,东北之夏,/app/2121360/,1/9/2023,8672,8891,165,9056,95.08,RPG (3),"Free to Play (37) RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,9/29/2022,98,62,75,8672,1/10/2023
6,Crab Champions,/app/774801/,4/1/2023,8564,5129,81,5210,94.76,Action (1),"Action (1) Adventure (25) Casual (4) Indie (23) Racing (9) Strategy (2) Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/2/2023,98,"4142","6419",8564,4/8/2023
7,Papa's Freezeria Deluxe,/app/2291760/,3/31/2023,1227,1832,20,1852,93.84,Strategy (2),"Action (1) Casual (4) Indie (23) Simulation (28) Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,3/28/2023,99,661,838,1227,4/2/2023
8,A Space for the Unbound,/app/1201270/,1/19/2023,338,1917,27,1944,93.64,Adventure (25),"Adventure (25) Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2/14/2023,98,63,63,338,1/20/2023
9,Handshakes,/app/2171690/,1/13/2023,195,1166,10,1176,93.3,Free to Play (37),"Casual (4) Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/26/2023,99,8,15,195,1/21/2023
10,候鸟,/app/1765350/,1/11/2023,162,1149,12,1161,93.12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,1/10/2023,98,19,20,162,2/27/2023
11,Симулятор Побега от Военкомата,/app/1248090/,4/3/2023,775,1995,42,2037,93.1,Indie (23),"Action (1) Adventure (25) Indie (23) Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/24/2023,97,127,157,775,4/6/2023
12,I commissioned some bees 0,/app/2250060/,1/12/2023,374,1733,36,1769,92.92,Indie (23),"Casual (4) Free to Play (37) Indie (23)",Follow The Fun,Follow The Fun,nan,1/12/2023,97,21,31,374,1/16/2023
13,Spin Rhythm XD,/app/1058830/,3/14/2023,313,2909,86,2995,92.89,Indie (23),"Action (1) Casual (4) Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,3/15/2023,97,57,69,313,4/14/2020
14,OCTOPATH TRAVELER II,/app/1971650/,2/24/2023,17008,4403,158,4561,92.85,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/23/2023,96,"3206","3388",17008,2/26/2023
15,Boneraiser Minions,/app/1944570/,3/9/2023,2029,3093,97,3190,92.82,Action (1),"Action (1) Casual (4) Indie (23) RPG (3)",caiys,caiys,Engine.GameMaker,8/1/2022,96,332,374,2029,3/19/2023
16,Bloody Hell,/app/2056220/,1/27/2023,395,1308,22,1330,92.8,Indie (23),"Action (1) Adventure (25) Free to Play (37) Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,1/27/2023,98,60,69,395,1/29/2023
17,DREDGE,/app/1562430/,3/30/2023,12686,5632,234,5866,92.63,Adventure (25),"Adventure (25) RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,3/30/2023,96,"7523","7523",12686,4/2/2023
18,Your Only Move Is HUSTLE,/app/2212330/,2/2/2023,3405,5664,245,5909,92.5,Indie (23),"Action (1) Indie (23) Simulation (28) Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,1/3/2023,95,745,"1255",3405,2/18/2023
19,Touhou Hero of Ice Fairy,/app/1955830/,2/25/2023,573,736,8,744,92.24,Action (1),"Action (1) Adventure (25) Indie (23) RPG (3) Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,4/14/2023,98,69,81,573,2/25/2023
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,2/20/2023,471,616,4,620,92.23,Indie (23),"Adventure (25) Indie (23) Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2/17/2023,99,39,47,471,2/20/2023
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,2/13/2023,818,4397,221,4618,91.65,Action (1),"Action (1) Adventure (25) Indie (23) RPG (3) Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,11/22/2022,95,43,50,818,4/6/2023
22,Half-Life: MMod,/app/1761270/,3/14/2023,1027,1222,39,1261,91.44,Action (1),Action (1),Gunship_Mark_II,MMod Team,Engine.GoldSource; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,3/14/2023,96,90,106,1027,3/14/2023
23,Hogwarts Legacy,/app/990080/,2/10/2023,879308,179479,14684,194163,91.35,Adventure (25),"Action (1) Adventure (25) RPG (3)",Warner Bros. Games,Avalanche Software,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Wwise; SDK.XAudio2,2/14/2023,92,"34741","34741",879308,2/12/2023
24,Big Ambitions,/app/1331550/,3/10/2023,10961,3976,218,4194,91.17,Simulation (28),"Indie (23) Simulation (28) Early Access (70)",Hovgaard Games,Hovgaard Games,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP,3/9/2023,94,"2913","2913",10961,3/12/2023
25,Apewar,/app/2306590/,3/24/2023,361,1313,50,1363,91.06,Action (1),"Action (1) Casual (4) Indie (23) Strategy (2) Early Access (70)",Gombe Games,Gombe Games,Engine.Unity,3/27/2023,96,91,190,361,3/31/2023
26,Meg's Monster,/app/1783360/,3/2/2023,195,484,7,491,91.06,RPG (3),"Adventure (25) Indie (23) RPG (3)",Odencat,Odencat,nan,3/2/2023,98,18,26,195,3/5/2023
27,The Test: Secrets of the Soul,/app/2231890/,2/20/2023,16,527,9,536,91.04,Simulation (28),"Adventure (25) Casual (4) Free to Play (37) Indie (23) RPG (3) Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,12/17/2022,98,2,4,16,2/21/2023
28,Barotrauma,/app/602960/,3/13/2023,19655,41677,3286,44963,90.99,Indie (23),"Action (1) Indie (23) Simulation (28) Strategy (2)",Daedalic Entertainment,FakeFish,Engine.MonoGame; SDK.SDL; SDK.Vorbis,3/13/2023,92,"7552","7811",19655,11/14/2021
29,觅长生,/app/1189490/,1/13/2023,26379,17906,1323,19229,90.91,Indie (23),"Indie (23) RPG (3) Strategy (2)",Chalcedony Network,Chalcedony Network,Engine.Unity,1/13/2023,93,"3942","4391",26379,1/26/2023
30,Birth,/app/1889040/,2/17/2023,183,442,7,449,90.74,Indie (23),"Adventure (25) Indie (23)",Madison Karrh,Madison Karrh,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/19/2023,98,23,39,183,4/1/2023
31,Contraband Police,/app/756800/,3/8/2023,8124,4519,282,4801,90.69,Simulation (28),"Action (1) Adventure (25) Simulation (28)",PlayWay S.A.,Crazy Rocks,Engine.Unity; SDK.Vorbis,3/8/2023,94,"1558","1589",8124,3/12/2023
32,Bing in Wonderland,/app/1710100/,1/13/2023,977,1184,48,1232,90.69,Action (1),"Action (1) Casual (4) Indie (23)",Wanba Studio,Wanba Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.Wwise; SDK.cURL,4/3/2023,96,97,141,977,1/14/2023
33,Luck be a Landlord,/app/1404850/,1/6/2023,2544,6625,459,7084,90.5,Indie (23),"Indie (23) Simulation (28) Strategy (2)",TrampolineTales,TrampolineTales,Engine.Godot,1/5/2023,93,408,417,2544,3/23/2021
34,Durka Simulator,/app/1450150/,3/21/2023,48,1598,80,1678,90.4,Indie (23),"Free to Play (37) Indie (23) Simulation (28)",Alcohol Studios,Crucial Experiment,Engine.RenPy; SDK.SteamworksNET,4/8/2023,95,3,7,48,4/1/2021
35, Dead Space,/app/1693980/,1/27/2023,30925,21792,1820,23612,90.25,Adventure (25),"Action (1) Adventure (25)",Electronic Arts,Motive,Engine.Frostbite; SDK.AMD_GPU_Services; SDK.NVIDIA_DLSS,2/27/2023,92,761,772,30925,1/28/2023
36,PARANORMASIGHT: The Seven Mysteries of Honjo,/app/2106840/,3/8/2023,582,654,24,678,89.93,Adventure (25),"Adventure (25) RPG (3) Simulation (28)",Square Enix,Square Enix,Engine.Unity; SDK.UnityBurst,3/8/2023,96,124,148,582,3/19/2023
37,Patch Quest,/app/1347970/,3/2/2023,2356,1357,72,1429,89.92,Indie (23),"Action (1) Adventure (25) Indie (23)",Curve Games,Lychee Game Labs,Engine.Unity; SDK.Discord,4/6/2023,94,119,134,2356,3/4/2023
38,Vertigo 2,/app/843390/,3/30/2023,295,497,15,512,89.88,Adventure (25),"Action (1) Adventure (25) Indie (23)",Zulubo Productions,Zach Tsiakalis-Brown,Engine.Unity; SDK.OpenVR; SDK.Steam_Audio,1/29/2023,97,78,96,295,3/31/2023
39,Larcin Lazer,/app/1707400/,1/24/2023,38,223,1,224,89.85,Indie (23),"Action (1) Casual (4) Indie (23)",Tambouille,Tambouille,SDK.NWJS; SDK.NodeJS,1/23/2023,99,1,2,38,1/25/2023
40,Fallen Hero: Retribution,/app/1343810/,2/2/2023,379,242,2,244,89.79,Indie (23),"Action (1) Adventure (25) Casual (4) Indie (23) RPG (3)",Hosted Games,Hosted Games,Container.Electron,7/2/2022,99,11,20,379,2/2/2023
41,Scarlet Maiden,/app/1968840/,1/27/2023,736,895,42,937,89.72,Action (1),"Action (1) Adventure (25) Early Access (70)",Critical Bliss,Otterside Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1/19/2023,95,66,72,736,1/28/2023
42,Landfall Archives,/app/2353760/,3/31/2023,1247,695,29,724,89.66,Action (1),"Action (1) Adventure (25) Casual (4) Free to Play (37) Indie (23) Simulation (28) Strategy (2)",Landfall,Landfall,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/11/2023,96,155,163,1247,4/1/2023
43,Elong Plug,/app/2172030/,2/25/2023,34,231,2,233,89.63,Free to Play (37),"Adventure (25) Casual (4) Free to Play (37) Indie (23)",AriaMohebi,Aria Mohebi,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,1/25/2023,99,2,4,34,3/4/2023
44,The Symbiant,/app/1883090/,2/2/2023,120,284,5,289,89.51,Indie (23),"Casual (4) Indie (23) Simulation (28)",HeartCoreDev,HeartCoreDev,Engine.RenPy,2/8/2023,98,4,7,120,2/4/2023
45,Shogun Showdown: Prologue,/app/2316330/,4/4/2023,590,274,5,279,89.37,Strategy (2),"Free to Play (37) RPG (3) Strategy (2)",Goblinz Publishing,Roboatino,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/4/2023,98,82,88,590,4/5/2023
46,流光易逝的夏末 - Fleeting Summer's End,/app/2205290/,1/6/2023,22,165,0,165,89.27,RPG (3),RPG (3),高柳堂,高柳堂,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,12/23/2022,100,0,1,22,1/6/2023
47,Lake Haven - Chrysalis,/app/1696960/,1/18/2023,24,246,4,250,89.23,Adventure (25),"Action (1) Adventure (25)",Encrypt Games,Encrypt Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,1/18/2023,98,0,3,24,1/22/2023
48,The Legend of Heroes: Trails to Azure,/app/1668520/,3/14/2023,884,183,1,184,89.18,RPG (3),RPG (3),NIS America Inc.,Nihon Falcom,SDK.Discord,3/14/2023,98,318,331,884,3/19/2023
49,Half-Life 2: VR Mod - Episode One,/app/2177750/,3/17/2023,193,237,4,241,89.08,Action (1),"Action (1) Adventure (25)",Source VR Mod Team,Source VR Mod Team,Engine.Source; SDK.Bink_Video; SDK.CEF; SDK.Miles_Sound_System; SDK.OpenVR; SDK.SDL; SDK.SteamworksNET,4/2/2023,98,39,39,193,3/17/2023
50,q.u.q.,/app/2302140/,2/27/2023,24,283,7,290,88.96,Indie (23),Indie (23),Nikita Kryukov,motijan,Engine.RenPy,2/2/2023,97,8,15,24,2/27/2023
51,The Last Spell,/app/1105670/,3/9/2023,6755,7268,659,7927,88.89,Strategy (2),"Action (1) Indie (23) RPG (3) Strategy (2)",The Arcade Crew,Ishtar Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/14/2023,91,"1837","1869",6755,6/6/2021
52,EMPTY SHELL: PROLOGUE,/app/2224850/,1/6/2023,130,628,31,659,88.88,Free to Play (37),"Action (1) Adventure (25) Free to Play (37) Indie (23)",Hyperstrange,CC ARTS,Engine.Unity; SDK.SteamworksNET; SDK.cURL,12/11/2022,95,4,12,130,1/14/2023
53,Sifu,/app/2138710/,3/28/2023,3189,1727,125,1852,88.76,Action (1),"Action (1) Indie (23)",Sloclap,Sloclap,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/13/2023,92,960,"1038",3189,4/1/2023
54,方寸文明,/app/2230280/,1/1/2023,1414,787,45,832,88.7,Strategy (2),Strategy (2),喜人一个,喜人一个,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,12/7/2022,94,111,126,1414,1/6/2023
55,Crimson Snow,/app/2067790/,3/29/2023,103,758,43,801,88.67,Adventure (25),"Action (1) Adventure (25) Indie (23)",Steppe Hare Studio,Steppe Hare Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,11/24/2022,94,9,14,103,12/23/2022
56,通神榜 Noobs Want to Live,/app/1737340/,2/14/2023,8622,3135,263,3398,88.61,Casual (4),"Action (1) Adventure (25) Casual (4) Indie (23)",Lightning Games,元气弹工作室,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/16/2023,92,641,718,8622,2/16/2023
57,스테퍼 케이스: 초능력 추리 어드벤처,/app/2128480/,3/10/2023,134,242,6,248,88.54,Adventure (25),"Adventure (25) Early Access (70)",Team Tetrapod,Team Tetrapod,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,3/6/2023,97,50,59,134,3/19/2023
58,Ages of Conflict: World War Simulator,/app/2186320/,2/17/2023,312,442,20,462,88.47,Simulation (28),"Casual (4) Indie (23) Simulation (28) Early Access (70)",JoySpark Games,JoySpark Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2/9/2023,95,183,183,312,2/25/2023
59,RHYTHM SPROUT,/app/1475840/,2/1/2023,204,311,11,322,88.4,Indie (23),"Action (1) Adventure (25) Indie (23)",tinyBuild,SURT,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2/2/2023,96,7,20,204,2/2/2023
60,Mortal Sin,/app/1494810/,3/15/2023,191,280,9,289,88.38,Action (1),"Action (1) Indie (23) RPG (3) Early Access (70)",Nikola Todorovic,Nikola Todorovic,Engine.Unity; SDK.UnityBurst,3/10/2023,96,14,20,191,3/17/2023
61,Figment 2: Creed Valley,/app/1085220/,3/9/2023,62,183,3,186,88.37,Adventure (25),"Action (1) Adventure (25) Indie (23)",Bedtime Digital Games,Bedtime Digital Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,3/9/2023,98,3,14,62,3/10/2023
